Temperature,Humidity,Rainfall_1h,Rainfall_3h,pH,Clay_Content,Sand_Content,Silt_Content,CEC,Crop
52.38,6.196,68.78,99.58,3.99,175.37,80.67,66.35,55.44,Rye
95.8,172.254,3.27,198.49,8.42,12.22,173.03,0.46,78.91,Pearl Millet
56.26,149.797,77.6,168.77,6.91,121.33,110.44,94.01,19.04,Papaya
24.82,164.331,149.23,124.31,0.95,42.23,13.2,20.73,56.49,Cabbage
13.23,31.569,65.15,25.02,5.92,192.2,179.53,156.61,70.65,Coconut
52.04,110.103,94.76,138.72,2.7,137.8,8.3,19.71,17.02,Papaya
81.74,28.049,182.07,18.64,7.49,114.45,68.47,131.54,76.9,Orange
19.12,83.723,186.07,31.69,7.18,136.11,2.84,121.78,21.35,Pearl Millet
0.37,95.735,111.27,107.36,5.65,33.26,47.46,172.64,21.89,Rye
78.1,54.703,182.12,128.22,0.69,50.68,90.75,43.93,8.25,Tomato
13.49,85.558,37.82,49.7,8.79,95.52,11.35,129.52,44.89,Ginger
1.59,107.94,115.44,73.37,2.94,32.15,131.18,180.77,5.83,Barley
99.35,82.093,164.72,64.15,3.54,98.63,154.22,34.66,85.37,Pistachio
63.09,40.719,152.72,94.49,2.95,165.53,143.14,128.19,7.74,Bamboo
40.03,120.231,194.15,18.17,8.73,27.8,44.4,43.95,67.97,Chickpea
21.34,75.832,118.37,21.56,0.07,197.46,106.67,39.77,8.92,Cabbage
26.09,46.417,107.52,125.88,0.33,78.4,129.83,89.68,73.68,Pearl Millet
40.65,154.736,164.59,115.11,8.24,68.32,113.1,56.8,5.16,Ginger
36.37,105.642,107.11,112.01,0.87,133.68,20.86,82.74,76.61,Onion
12.33,124.47,118.06,113.81,0.12,187.51,29.51,119.55,47.41,Carrot
97.21,183.454,111.95,141.42,2.53,30.68,94.41,145.65,14.67,Tomato
75.98,193.101,59.0,198.57,1.93,161.15,2.24,155.2,23.93,Mango
31.73,60.156,46.97,95.92,5.11,72.75,109.2,65.84,5.89,Chickpea
20.0,129.869,185.64,159.62,3.85,91.76,18.62,1.34,17.54,Rye
99.45,148.964,87.59,7.92,5.9,19.84,178.93,2.88,36.19,Papaya
38.84,47.249,115.41,89.19,0.44,91.82,171.21,68.65,59.26,Tomato
50.0,154.776,158.63,117.83,9.61,189.66,42.53,55.76,77.57,Pistachio
8.59,119.841,71.15,85.39,9.85,17.68,116.69,186.6,84.69,Cotton
56.02,96.323,142.2,139.53,6.05,137.67,183.2,130.78,40.78,Bamboo
97.5,55.694,113.01,93.06,5.19,168.67,104.6,176.52,44.21,Pistachio
16.58,166.521,35.26,102.38,9.67,117.04,123.09,6.65,23.33,Bamboo
49.18,16.42,113.36,93.78,5.6,123.07,65.37,149.7,41.78,Coconut
26.29,176.475,27.05,102.17,9.81,180.14,112.8,30.64,34.51,Cabbage
41.08,18.277,72.01,177.85,2.16,68.05,38.82,111.0,8.82,Pistachio
63.32,104.163,164.75,108.96,0.03,76.76,26.83,60.08,29.28,Cabbage
44.8,157.69,127.67,75.57,0.81,190.58,180.53,149.22,98.31,Rye
72.29,178.62,65.38,59.88,2.07,141.93,84.69,155.7,18.32,Carrot
30.49,109.677,72.8,150.3,0.25,136.73,121.96,78.93,30.68,Coconut
85.16,147.088,94.37,41.15,1.22,120.14,9.36,100.73,33.99,Mango
26.32,42.916,61.57,14.69,3.07,164.8,8.55,188.39,6.78,Pearl Millet
78.58,0.061,137.91,102.62,1.41,101.17,24.46,173.42,82.89,Onion
48.78,108.761,73.78,15.9,5.11,99.99,173.81,176.78,86.31,Chickpea
38.18,43.416,87.42,65.89,9.18,83.79,90.87,180.03,36.81,Chickpea
42.06,132.51,160.39,6.26,1.58,49.24,173.68,92.55,33.39,Bamboo
98.58,39.984,61.74,29.21,8.08,119.23,167.04,81.52,52.66,Carrot
33.64,12.858,43.63,141.51,0.78,60.42,194.41,30.1,60.82,Ginger
82.58,93.212,139.94,65.61,9.59,194.34,35.23,167.34,52.49,Tomato
67.96,59.641,162.71,190.76,1.96,141.07,2.61,32.07,17.32,Tomato
65.29,13.508,155.55,25.22,9.55,28.25,12.8,3.88,11.67,Sesame
94.04,71.085,190.49,112.52,2.91,178.98,33.68,141.28,17.06,Bamboo
86.67,173.225,116.65,36.45,9.65,13.19,75.88,96.12,16.22,Pistachio
54.26,74.893,161.14,184.25,8.47,153.81,8.69,193.97,60.46,Bamboo
73.34,148.618,197.49,189.7,0.58,141.11,140.11,72.56,17.83,Mango
22.78,10.011,118.39,1.7,0.79,101.79,190.83,163.12,38.39,Chickpea
7.24,194.655,139.87,21.29,9.12,169.84,60.67,49.15,82.59,Onion
87.1,124.777,36.63,136.48,9.37,100.23,159.84,70.64,75.67,Chickpea
54.65,87.396,27.64,101.02,0.48,63.08,107.26,148.29,64.09,Papaya
2.71,68.087,17.24,134.06,5.3,73.9,165.82,167.76,0.09,Onion
69.83,164.684,143.6,180.77,8.68,48.04,38.82,4.58,26.99,Mango
90.71,57.314,85.72,30.81,1.89,1.66,43.13,122.52,96.41,Ginger
45.65,172.461,32.16,67.69,7.44,141.28,69.55,99.86,17.27,Onion
18.46,78.32,182.63,31.56,6.26,44.69,8.49,157.31,32.96,Tomato
23.57,21.036,184.78,134.66,0.19,98.57,158.36,89.36,88.06,Bamboo
89.38,159.891,51.78,181.92,5.81,70.16,9.41,160.38,7.18,Chickpea
29.21,125.511,83.41,71.24,1.56,15.01,79.42,100.74,88.11,Chickpea
56.93,97.637,122.7,81.2,6.79,44.4,69.73,150.2,23.66,Bamboo
97.41,146.428,163.84,78.32,0.34,97.07,190.94,135.78,21.61,Bamboo
18.38,180.084,125.56,153.03,7.88,133.57,157.5,153.0,92.73,Cotton
44.11,7.194,115.27,67.78,8.74,30.41,18.08,162.76,79.84,Carrot
6.57,0.531,21.18,16.82,2.19,61.59,191.07,109.45,67.24,Tomato
65.25,96.965,75.09,187.33,1.46,74.85,177.9,78.94,78.84,Papaya
25.6,59.77,112.82,72.45,7.67,18.36,142.89,13.27,67.11,Onion
7.75,112.561,168.55,156.32,8.7,90.52,195.78,28.31,50.78,Barley
98.09,81.087,72.42,71.55,5.73,191.34,25.94,7.69,28.08,Ginger
19.63,39.899,166.89,95.06,0.79,108.65,162.56,148.39,9.74,Papaya
52.83,2.307,6.97,68.59,9.84,189.26,141.21,94.12,73.27,Cotton
52.72,142.141,32.46,120.82,1.95,40.77,13.6,29.21,15.82,Chickpea
9.79,80.835,41.38,17.25,6.91,173.81,21.18,193.96,49.98,Rye
62.37,97.142,60.81,39.09,5.35,91.89,74.89,193.59,49.54,Coconut
96.91,84.615,110.44,126.76,0.08,145.61,114.74,91.04,14.07,Sesame
0.3,136.236,95.65,138.76,1.75,31.99,127.21,82.69,89.43,Barley
48.55,49.479,44.55,59.92,6.82,157.31,161.09,136.92,20.62,Onion
92.49,166.042,159.98,142.52,4.59,3.89,41.97,20.96,65.89,Onion
88.18,140.095,134.08,71.94,4.69,102.67,11.18,38.42,64.01,Bamboo
41.27,77.723,50.46,123.58,0.87,120.87,13.16,146.3,34.67,Carrot
35.48,124.736,13.38,76.56,7.14,59.24,80.85,67.72,6.19,Tomato
82.79,173.441,183.77,190.83,6.28,149.34,192.2,4.59,80.78,Ginger
94.36,153.077,32.03,105.04,4.91,172.42,64.06,26.51,82.35,Cabbage
26.07,80.191,141.87,35.37,4.74,52.71,27.0,74.65,4.09,Sesame
63.93,179.816,88.34,53.44,5.0,46.3,85.37,65.3,17.76,Sesame
46.35,98.843,136.07,159.98,9.62,154.11,152.38,129.84,11.08,Onion
29.21,81.153,55.35,75.36,7.31,82.54,71.22,175.62,63.62,Onion
95.05,83.265,162.55,192.34,0.54,199.64,41.22,64.24,79.63,Sesame
90.95,116.821,66.83,140.47,0.71,153.57,172.53,124.74,21.55,Orange
40.57,132.663,61.48,116.55,9.95,164.93,114.83,118.15,28.83,Pistachio
14.71,6.721,160.41,178.83,5.72,52.24,40.76,128.45,38.68,Cotton
39.38,118.444,57.12,165.62,3.35,95.7,152.21,161.15,16.33,Mango
28.23,197.783,165.58,152.39,7.45,28.95,86.47,74.16,20.71,Coconut
64.09,145.423,103.05,141.71,5.13,169.66,182.91,20.89,68.28,Barley
45.35,195.727,174.08,185.49,6.66,39.57,7.68,166.56,41.68,Pearl Millet
81.14,95.129,109.96,101.93,4.67,159.01,81.73,121.88,77.66,Coconut
30.1,36.262,117.49,140.4,2.07,149.45,63.9,76.38,3.34,Pistachio
94.41,185.694,81.77,79.66,1.91,11.85,44.53,171.42,6.37,Tomato
13.72,53.923,81.84,70.55,7.81,35.19,63.08,46.97,72.44,Chickpea
90.99,71.705,150.23,123.63,4.71,63.02,93.11,63.18,45.87,Barley
9.75,94.492,37.67,67.66,0.57,66.17,126.95,98.9,45.64,Chickpea
22.38,183.866,54.15,74.16,1.12,46.86,167.71,69.66,70.97,Mango
14.11,146.25,186.81,34.34,6.81,150.2,120.67,60.17,35.68,Cabbage
61.64,155.059,9.16,114.31,5.4,198.96,30.52,71.0,65.01,Pearl Millet
38.25,83.261,191.91,184.11,7.32,82.54,147.84,156.67,58.85,Mango
49.47,188.272,97.87,45.63,7.63,195.2,190.6,159.32,34.16,Mango
31.52,177.38,15.53,33.67,9.32,185.15,92.97,60.67,23.53,Cotton
8.0,22.832,64.51,82.71,7.6,26.48,44.71,21.19,52.08,Pearl Millet
20.47,139.212,56.43,142.64,2.11,68.92,102.37,90.3,43.71,Papaya
16.82,50.92,142.97,199.87,8.2,57.07,168.32,6.49,42.09,Chickpea
14.49,106.338,43.7,0.53,2.3,31.13,96.22,178.41,77.41,Bamboo
9.77,76.416,158.1,105.84,1.38,103.03,63.76,151.19,94.67,Ginger
43.94,6.13,60.39,190.32,9.32,184.27,130.77,77.02,6.25,Cotton
17.8,190.985,139.01,124.52,0.75,137.84,191.83,0.5,53.75,Onion
36.54,156.023,197.34,7.1,5.8,42.22,168.89,141.74,87.85,Coconut
39.21,148.855,83.85,187.47,5.07,113.24,121.83,145.12,38.56,Pearl Millet
16.06,181.053,188.13,145.59,2.94,147.13,164.46,132.88,29.53,Cabbage
7.43,20.256,134.18,106.02,9.42,145.38,177.62,135.31,7.37,Pistachio
24.17,169.322,146.0,159.61,0.72,100.97,80.51,128.36,60.44,Chickpea
62.73,104.214,186.29,8.35,6.5,139.11,6.67,59.27,48.09,Cotton
96.09,163.867,159.67,60.52,2.05,119.93,102.01,0.03,28.63,Carrot
75.52,198.688,191.72,41.14,6.65,109.4,162.54,15.62,66.91,Chickpea
63.19,18.437,73.71,86.56,8.87,39.59,169.34,67.77,24.9,Tomato
93.94,179.43,171.91,135.2,2.89,92.09,149.17,190.82,45.01,Tomato
23.98,141.77,111.7,35.21,0.39,122.94,166.43,163.59,19.81,Carrot
6.15,4.634,70.74,184.66,3.37,158.34,186.09,73.94,72.54,Sesame
0.1,184.357,65.26,172.29,8.22,123.56,136.05,21.2,32.66,Chickpea
56.31,174.154,65.87,158.89,2.65,182.55,56.36,103.08,76.57,Tomato
81.14,189.825,34.43,55.5,1.58,10.63,177.57,163.66,2.41,Tomato
29.9,65.83,148.33,67.34,0.74,129.39,57.87,8.09,18.65,Chickpea
57.13,8.711,149.02,101.31,1.59,163.19,46.18,37.33,11.59,Coconut
52.23,194.944,145.52,83.19,1.47,35.83,170.14,182.86,5.27,Bamboo
97.08,78.087,30.47,98.62,2.77,150.58,21.4,190.07,87.58,Bamboo
27.86,123.866,139.51,147.4,0.52,36.74,90.12,3.49,76.43,Cotton
85.99,8.338,63.4,66.67,6.55,148.0,3.58,142.76,58.61,Barley
84.71,161.392,8.18,151.21,7.55,54.34,175.19,149.49,12.71,Coconut
88.81,165.406,152.72,90.67,4.5,181.34,19.25,130.47,80.37,Tomato
8.25,18.802,74.45,106.14,7.71,119.37,41.13,30.79,37.04,Cotton
29.11,184.648,155.44,68.78,2.54,33.86,14.84,77.27,72.22,Pistachio
62.66,29.375,91.5,148.21,8.29,64.23,172.18,144.02,77.15,Sesame
3.38,159.323,102.04,35.33,2.54,168.22,76.13,17.66,2.31,Chickpea
64.73,167.766,167.71,100.99,9.86,109.86,106.07,148.82,97.03,Ginger
23.55,112.964,35.09,4.34,7.7,108.9,36.27,92.05,48.36,Onion
40.75,113.103,30.06,19.33,5.22,185.34,92.65,171.19,68.31,Barley
59.93,21.429,69.11,92.59,6.11,162.86,0.83,151.35,89.55,Cotton
31.98,110.845,135.38,30.8,9.1,121.91,115.1,5.59,59.24,Rye
44.33,65.626,193.08,196.51,8.22,176.1,159.79,193.12,13.75,Ginger
21.71,23.751,197.3,134.39,6.28,23.96,62.19,26.27,19.89,Pistachio
15.11,143.322,17.25,144.85,0.59,108.86,40.69,100.57,44.81,Coconut
28.93,100.213,126.3,84.12,9.89,127.08,81.28,36.6,79.04,Ginger
48.49,193.651,53.86,130.04,3.36,155.37,151.9,160.38,23.54,Pearl Millet
72.72,50.219,160.96,17.63,3.68,28.69,153.31,49.09,35.6,Barley
47.45,103.082,132.37,194.2,7.12,125.8,58.37,143.4,72.38,Orange
38.85,86.18,187.04,197.6,8.12,178.59,66.38,126.31,95.56,Sesame
47.69,44.096,156.13,7.68,9.34,24.28,133.05,5.76,0.24,Orange
34.06,86.348,115.71,77.27,0.07,110.48,8.15,116.36,44.55,Rye
34.66,86.104,56.43,184.14,0.93,110.15,72.56,54.23,14.72,Pistachio
1.39,14.1,9.16,99.22,0.04,58.91,50.68,80.91,8.64,Pistachio
57.39,97.259,155.21,85.13,3.07,49.36,29.13,17.99,71.97,Pistachio
40.99,102.959,198.64,105.53,5.27,64.72,164.53,109.6,83.94,Cabbage
52.78,131.584,122.15,127.18,0.73,87.58,113.48,179.75,96.14,Onion
92.81,97.107,167.26,170.05,5.53,82.47,100.9,181.65,38.97,Chickpea
57.77,163.424,36.57,166.29,1.2,141.16,21.25,63.85,84.0,Papaya
74.43,26.174,166.4,160.69,8.99,121.57,5.81,132.49,17.44,Coconut
99.07,102.607,25.19,9.21,8.24,194.26,116.98,157.66,94.92,Pistachio
94.46,87.881,168.53,44.7,4.48,5.84,171.74,145.12,30.1,Coconut
82.48,53.635,174.63,109.46,3.22,113.75,9.58,4.67,34.33,Ginger
75.05,84.352,97.16,105.31,0.47,40.18,51.1,132.96,94.97,Ginger
79.53,179.03,81.44,196.01,0.49,12.98,61.68,155.87,46.09,Carrot
99.87,55.329,185.33,131.5,3.7,73.13,90.29,60.56,28.83,Rye
93.15,125.69,23.89,155.01,4.42,69.82,143.76,130.95,31.2,Cabbage
75.59,172.833,178.51,121.99,3.81,72.22,195.58,140.73,20.68,Tomato
95.01,34.238,91.24,152.77,3.04,180.71,75.19,157.41,90.24,Pearl Millet
67.63,115.166,86.44,17.64,8.07,8.29,39.21,127.7,48.72,Chickpea
94.58,168.759,21.03,45.76,4.59,72.61,57.85,181.82,17.86,Papaya
18.58,48.994,109.94,118.86,0.86,100.37,104.7,51.34,26.02,Barley
74.79,0.945,95.27,72.68,4.54,21.1,19.52,118.01,81.71,Onion
5.17,163.434,54.38,99.68,5.29,141.94,66.8,95.8,86.68,Bamboo
46.82,158.213,21.26,156.63,4.55,166.07,72.85,19.21,93.53,Ginger
64.41,143.73,177.93,70.59,8.49,161.7,54.29,87.28,77.15,Ginger
39.65,25.852,35.88,94.83,5.03,92.24,62.63,7.29,53.26,Rye
88.63,162.818,140.25,176.83,9.84,90.57,90.43,88.73,17.15,Coconut
36.17,90.698,184.1,150.75,6.99,153.64,197.16,30.76,76.54,Cabbage
34.85,177.84,121.46,139.17,9.64,139.69,138.33,55.74,83.95,Bamboo
79.16,192.078,93.5,45.2,6.37,42.2,80.61,5.13,20.39,Orange
89.72,186.754,28.93,25.67,7.12,157.3,180.73,141.89,44.96,Tomato
61.09,18.833,193.93,6.07,4.28,171.67,174.72,182.18,92.5,Chickpea
63.82,50.049,124.88,62.13,2.52,44.21,11.25,45.74,98.11,Carrot
9.69,94.82,82.53,128.96,0.72,96.73,70.44,156.38,21.48,Sesame
40.6,31.976,83.37,74.78,6.82,133.33,32.87,159.28,26.93,Onion
65.13,161.367,56.88,5.48,5.35,82.97,101.27,126.87,99.12,Papaya
7.24,16.23,171.17,12.94,2.92,46.96,36.83,144.54,62.35,Pistachio
33.16,185.906,5.68,129.78,5.57,92.72,95.46,69.42,48.77,Orange
81.23,19.387,130.14,18.2,4.74,197.55,60.14,177.72,41.92,Tomato
59.55,184.679,183.14,4.23,6.83,177.07,169.0,87.3,6.6,Barley
46.74,42.965,9.13,70.1,5.76,123.17,148.81,120.16,70.68,Papaya
58.96,145.087,110.99,163.68,2.66,146.69,38.56,9.39,65.26,Pistachio
66.74,159.486,96.52,132.29,7.79,72.78,49.12,123.98,57.8,Papaya
98.05,15.665,63.03,9.66,8.38,67.02,104.69,65.78,96.21,Onion
19.47,193.753,28.57,79.5,8.3,5.19,72.66,35.86,31.44,Carrot
85.43,45.754,143.82,51.85,1.0,15.11,135.37,190.33,80.55,Pistachio
68.17,132.491,199.8,141.82,8.13,130.37,199.67,34.3,1.72,Papaya
19.43,34.547,191.68,193.57,7.07,27.93,196.95,111.26,48.41,Mango
40.77,134.814,198.24,48.83,0.72,64.58,21.77,169.38,27.13,Rye
43.85,117.548,197.82,101.59,4.49,8.97,142.4,176.0,89.03,Pearl Millet
94.78,43.037,17.82,146.68,0.68,125.44,62.17,183.12,31.86,Mango
43.72,144.536,159.08,2.28,3.63,173.36,60.21,143.36,51.04,Mango
0.23,13.69,96.08,119.55,1.47,10.81,67.77,158.66,66.44,Carrot
77.89,54.036,172.43,48.53,1.16,163.62,147.5,173.38,34.5,Ginger
49.03,55.703,44.63,166.16,6.78,69.32,16.84,141.44,25.22,Bamboo
63.33,82.901,81.71,1.21,6.81,145.41,181.68,74.14,16.94,Papaya
46.03,18.754,196.61,95.32,5.38,25.37,121.09,116.41,67.83,Onion
29.46,139.271,100.66,109.41,2.4,189.03,63.48,142.79,75.43,Chickpea
70.73,188.282,178.34,82.1,0.58,113.1,57.29,57.05,27.39,Pearl Millet
36.55,51.007,137.92,177.4,0.8,134.19,78.27,44.33,87.7,Coconut
27.88,99.856,143.1,106.94,6.0,33.34,115.91,4.86,9.5,Mango
88.31,132.424,177.65,29.08,2.01,163.58,105.97,27.2,13.75,Mango
25.04,72.874,107.11,121.3,3.25,72.4,100.75,57.02,58.53,Sesame
54.09,88.87,53.8,143.65,9.7,136.08,20.75,167.52,5.04,Mango
67.85,121.62,148.47,66.99,2.67,16.46,123.44,166.73,28.91,Rye
13.3,168.468,39.56,26.13,9.86,168.26,180.16,35.46,77.4,Cabbage
82.49,91.513,182.6,50.11,2.45,131.95,56.68,195.5,45.98,Chickpea
23.7,99.816,7.8,131.11,1.17,90.54,149.36,120.6,87.76,Orange
27.12,191.547,76.62,188.92,1.15,65.79,124.61,156.78,78.44,Pistachio
76.32,96.756,43.29,140.1,3.44,7.52,113.83,68.94,73.37,Carrot
31.42,73.56,72.13,198.8,8.03,20.0,133.97,133.41,86.26,Sesame
7.11,148.698,57.71,109.13,7.28,28.78,67.65,28.29,78.12,Pearl Millet
92.45,21.133,5.41,71.71,4.79,28.52,9.87,130.37,16.83,Pistachio
80.0,46.303,45.04,155.11,8.62,133.68,141.75,168.34,53.52,Chickpea
63.34,197.022,123.47,131.34,4.82,44.54,189.63,42.88,69.13,Pistachio
70.06,156.375,119.66,123.12,5.12,37.67,153.99,107.32,93.81,Ginger
71.43,99.189,158.23,62.36,8.45,42.15,67.71,188.9,70.28,Sesame
11.27,11.545,11.21,102.21,1.82,15.47,168.33,88.55,67.43,Pearl Millet
4.43,103.474,196.48,23.28,2.85,17.34,8.09,173.06,75.46,Pistachio
60.19,30.711,173.51,93.24,3.69,68.99,147.6,143.63,41.71,Cotton
65.38,142.134,4.62,181.65,7.94,62.2,123.3,199.9,6.15,Orange
1.11,160.603,124.55,30.77,6.82,189.29,79.13,141.49,7.79,Papaya
82.47,54.785,177.58,92.05,7.69,19.76,73.54,89.27,72.24,Mango
15.69,150.353,160.59,126.23,3.04,172.26,46.11,18.74,16.22,Cotton
82.06,15.501,120.28,127.71,8.5,139.01,47.38,89.96,95.36,Carrot
25.8,180.856,142.1,88.83,1.67,98.5,99.69,46.4,68.09,Cotton
13.96,114.323,115.54,13.02,4.3,38.19,92.79,152.69,3.44,Coconut
31.08,192.64,11.15,174.94,0.05,4.75,189.66,191.45,27.32,Sesame
71.09,134.464,183.84,161.65,3.36,23.15,86.94,78.18,78.77,Orange
75.95,64.02,26.93,191.45,6.56,59.4,179.12,149.83,21.78,Cotton
77.42,175.785,63.74,153.15,1.74,172.75,105.86,183.92,1.25,Rye
61.34,74.008,163.4,80.1,2.83,35.64,60.41,5.88,38.34,Orange
46.89,113.175,93.25,196.27,6.84,176.44,141.23,1.88,59.61,Carrot
39.95,193.951,138.02,195.0,8.31,81.65,100.71,16.36,35.51,Mango
75.7,96.515,49.48,130.03,8.22,87.48,54.85,50.33,29.84,Cotton
38.41,91.679,153.83,163.69,7.86,74.86,168.97,180.93,98.67,Cotton
96.49,167.366,111.66,46.54,1.35,2.47,42.47,97.64,30.66,Coconut
62.26,16.025,25.28,154.96,2.64,68.79,117.79,32.16,67.27,Cabbage
51.31,124.343,157.69,130.72,9.59,62.47,147.14,63.83,99.63,Ginger
5.6,19.435,29.64,79.4,6.14,53.75,144.87,80.08,0.25,Barley
56.36,5.042,95.02,24.0,8.95,162.13,58.24,4.24,23.9,Cotton
34.12,99.755,159.21,77.89,3.66,150.97,155.64,178.92,39.12,Tomato
47.09,12.052,45.35,24.11,8.63,37.9,189.72,58.28,33.84,Ginger
